"Date","Apple","Samsung","Xiaomi","Unknown","Oppo","Vivo","Realme","Huawei","Motorola","Tecno","Infinix","Google","OnePlus","Honor","Itel","Nokia","LG","Sony","Lenovo","Asus","ZTE","BBK","TCL","Nothing","T-Mobile","Infinex","Alcatel","HTC","Vsmart","Lava","Hisense","Reeder","General Mobile","Jio","Meizu","CAT","Blu","Sharp","Other"
2023-11,29.12,24.61,11.52,6.81,5.59,4.97,3.58,3.52,2.16,1.47,1.34,0.98,1.21,0.35,0.44,0.38,0.42,0.26,0.26,0.19,0.09,0.06,0.07,0.04,0.05,0.06,0.06,0.05,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.17
2023-12,28.8,24.15,11.99,6.78,5.63,5.13,3.74,3.49,2.15,1.51,1.34,0.95,1.28,0.37,0.46,0.38,0.38,0.26,0.25,0.17,0.09,0.06,0.07,0.04,0.04,0.06,0.05,0.05,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.16
2024-01,29.27,23.69,11.9,7.15,5.64,5.02,3.65,3.59,2.15,1.42,1.3,0.97,1.24,0.42,0.43,0.36,0.35,0.23,0.26,0.18,0.09,0.06,0.07,0.04,0.04,0.05,0.05,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.15
2024-02,27.84,23.77,11.74,7.43,6.3,5.12,3.98,3.62,2.07,1.51,1.46,0.94,1.16,0.45,0.47,0.37,0.33,0.24,0.25,0.17,0.09,0.07,0.06,0.03,0.04,0.06,0.05,0.04,0.05,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.14
2024-03,28.46,23.85,11.59,8.06,5.9,5.08,3.57,3.29,2.23,1.48,1.28,1.04,1.15,0.44,0.47,0.37,0.34,0.24,0.25,0.16,0.09,0.07,0.06,0.03,0.04,0.05,0.05,0.04,0.06,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.14
2024-04,27.95,23.95,11.44,8.11,5.77,5,3.53,3.36,2.29,1.63,1.46,1.14,1.16,0.56,0.53,0.35,0.34,0.26,0.24,0.15,0.1,0.07,0.06,0.04,0.05,0.05,0.04,0.04,0.05,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.14
2024-05,27.73,24.02,11.44,7.56,5.91,5.23,3.61,3.3,2.33,1.61,1.53,1.28,1.22,0.62,0.53,0.35,0.32,0.27,0.23,0.14,0.1,0.07,0.06,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.14
2024-06,27.16,23.72,11.92,6.86,6.12,5.48,3.89,3.49,2.38,1.51,1.59,1.38,1.31,0.72,0.47,0.33,0.3,0.26,0.24,0.15,0.09,0.07,0.05,0.04,0.04,0.06,0.04,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12
2024-07,27.75,23.56,11.8,7.18,5.86,5.4,3.64,3.49,2.41,1.43,1.48,1.57,1.33,0.74,0.43,0.32,0.3,0.26,0.22,0.14,0.09,0.07,0.05,0.04,0.04,0.05,0.03,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11
2024-08,27.71,23.58,12.13,6.39,5.68,5.59,3.74,3.51,2.39,1.62,1.58,1.46,1.43,0.79,0.51,0.31,0.27,0.24,0.22,0.14,0.1,0.07,0.05,0.06,0.04,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.12
2024-09,27.61,22.9,11.8,6.12,5.83,6.21,4.1,3.12,2.37,1.79,1.72,1.58,1.53,0.92,0.57,0.29,0.24,0.22,0.2,0.13,0.11,0.07,0.06,0.09,0.04,0,0.03,0.03,0.03,0.04,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.14
2024-10,28.38,22.82,10.62,6.06,5.39,5.67,3.94,2.76,2.39,1.95,1.97,3.6,1.33,0.84,0.59,0.26,0.25,0.2,0.18,0.11,0.11,0.06,0.06,0.09,0.04,0,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.12
2024-11,27.69,23.28,11.08,5.77,5.72,5.95,4.17,2.49,2.85,1.86,2.06,2.66,1.39,0.82,0.56,0.25,0.25,0.18,0.17,0.12,0.11,0.06,0.06,0.1,0.04,0,0.03,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12
